time_s,outlet_mol_s,E_1_s,F
35.5000000000000,4.62814671695254e-38,9.32770973806394e-32,5.12995609229346e-33
35.9999999999998,9.95940851826335e-38,2.00724993183302e-31,7.86304787332526e-32
36.5000000000000,1.55198354216000e-37,3.12791553182501e-31,2.07009615324745e-31
36.9999999999999,1.78977316164653e-37,3.60716407015906e-31,3.75386605374306e-31
37.4999999999998,1.22256894700022e-37,2.46400318957422e-31,5.27165786867625e-31
38.0000000000000,-5.60821661847532e-38,-1.13029728668087e-31,5.60508434439968e-31
38.5000000000000,-3.43438081292203e-37,-6.92175709027792e-31,3.59207075015972e-31
38.9999999999997,-6.04048322440173e-37,-1.21741763260185e-30,-1.18191260391167e-31
39.4999999999998,-5.01877515770686e-37,-1.01149943540512e-30,-6.75420527393005e-31
39.9999999999998,5.48964580853874e-37,1.10640015968521e-30,-6.51695346322986e-31
40.5000000000001,3.35161072545030e-36,6.75493970134285e-30,1.31363961893520e-30
40.9999999999999,8.74650546621998e-36,1.76279770717835e-29,7.40936881221532e-30
41.4999999999998,1.72295049191263e-35,3.47248759913942e-29,2.04975820780053e-29
41.9999999999997,2.83552234793695e-35,5.71479925657263e-29,4.34657992172847e-29
42.5000000000001,3.99913024786445e-35,8.05997053208237e-29,7.79027236889457e-29
42.9999999999999,4.75959550184986e-35,9.59263567622667e-29,1.22034239209705e-28
43.4999999999998,4.38044417807067e-35,8.82848239602475e-29,1.68087034390321e-28
43.9999999999996,1.86891652287841e-35,3.76667204309381e-29,1.99574920488107e-28
44.5000000000001,-3.89470610656672e-35,-7.84951089472820e-29,1.89367823359011e-28
45.0000000000002,-1.39023561788038e-34,-2.80192377298810e-28,9.96959517974767e-29
45.5000000000001,-2.86462049340568e-34,-5.77344455704550e-28,-1.14688256453327e-28
45.9999999999999,-4.76813839709090e-34,-9.60985329096633e-28,-4.99270702653502e-28
46.4999999999996,-6.92257387111152e-34,-1.39519690405476e-27,-1.08831626094093e-27
46.9999999999997,-8.99393060190693e-34,-1.81266453268618e-27,-1.89028162012642e-27
47.4999999999997,-1.05034850286129e-33,-2.11690479098540e-27,-2.87267395104428e-27
47.9999999999995,-1.08823393901545e-33,-2.19326026831967e-27,-3.95021521587011e-27
48.4999999999997,-9.56795543709184e-34,-1.92835526965941e-27,-4.98061910036530e-27
49.0000000000001,-6.12151109150135e-34,-1.23374823902431e-27,-5.77114497753687e-27
49.4999999999998,-3.20395149827328e-35,-6.45734273748494e-29,-6.09572539413646e-27
50.0000000000001,7.84322762643014e-34,1.58074830343921e-27,-5.71668167512019e-27
50.4999999999999,1.83379845513871e-33,3.69589400547505e-27,-4.39752109789214e-27
50.9999999999999,3.15081553352561e-33,6.35025087412571e-27,-1.88598487799177e-27
51.4999999999999,4.87349190573450e-33,9.82218600395369e-27,2.15712434152814e-27
52.0000000000001,7.32341691503629e-33,1.47598404830316e-26,8.30263096327710e-27
52.4999999999997,1.10699084665682e-32,2.23106351889975e-26,1.75702498812767e-26
53.0000000000000,1.69251342580014e-32,3.41114379667619e-26,3.16757681702242e-26
53.5000000000000,2.57887485098235e-32,5.19754396995339e-26,5.31974875867973e-26
53.9999999999998,3.82350799540443e-32,7.70601602400863e-26,8.54563875716908e-26
54.4999999999998,5.37216981958215e-32,1.08272368628895e-25,1.31789519788939e-25
54.9999999999998,6.93079148380971e-32,1.39685310708108e-25,1.93778939623189e-25
55.4999999999995,7.78204510825249e-32,1.56841738988985e-25,2.67910702047412e-25
56.0000000000001,6.55091170439248e-32,1.32029096386326e-25,3.40128410891324e-25
56.5000000000001,9.41464232525591e-33,1.89745607190912e-26,3.77879325167681e-25
56.9999999999998,-1.25063546973723e-31,-2.52056932575324e-25,3.19608732203653e-25
57.5000000000000,-3.85566700127187e-31,-7.77083027700053e-25,6.23237421347209e-26
58.0000000000001,-8.31875896233150e-31,-1.67658835657309e-24,-5.51094103933618e-25
58.4999999999999,-1.53098278542446e-30,-3.08558995852561e-24,-1.74163868270782e-24
