"row_type","config","Qliq_cm3_min","kN2_m_s","N2_in_total","N2_out_total","N2_in_adv","N2_out_adv","N2_in_diff","N2_out_diff","N2_consumed","N2_cathode_out","N2_anode_out","N2_all_boundary_out_ntflux","N2_all_boundary_out_explicit","N2_species_error","NH3_in_total","NH3_out_total","NH3_in_adv","NH3_out_adv","NH3_in_diff","NH3_out_diff","NH3_generated","NH3_cathode_out","NH3_anode_out","NH3_all_boundary_out_ntflux","NH3_all_boundary_out_explicit","NH3_species_error","NH3_inlet_backdiff_out","N_boundary_error","N_overall_error","min_cN2","min_cNH3","conversion","dof","solve_s","N2_conversion","NH3_generation","min_cathode_cN2","avg_cathode_cN2","reaction_flux","limiting_mass_transfer_flux","reaction_to_limiting_flux","classification","reason"
"scan","B_NX350_QUADRATIC_SELECTED","1.00000000000","0.000100000000000","8.33333283428e-08","6.07653538399e-08","8.30880413245e-08","6.07653595401e-08","2.33989175700e-10","-2.78772857560e-11","","","","","","8.51573277491e-09","7.17211570640e-15","4.51368915392e-08","4.91804913866e-10","4.51359475864e-08","-4.70160729280e-10","1.55178838343e-11","","","","","","2.07546464800e-05","4.70160729280e-10","0.00000000000","5.61216841801e-06","0.0450654563790","-1.84154210903e-06","","778265","130.225563900","0.270815710253","4.51359475864e-08","0.0450654563790","0.0746048720437","7.46048720437e-06","7.57349107082e-06","0.985079025591","WARNING_UNDERSHOOT","negative_but_abs_cmin_over_cN2in_le_1e-6"
"scan","B_NX350_QUADRATIC_SELECTED","2.00000000000","1.00000000000e-06","1.66666625628e-07","1.56483201944e-07","1.66647757941e-07","1.56481756922e-07","1.79076755299e-11","-7.90808177562e-11","","","","","","8.91636385403e-06","1.04081738567e-14","2.03699859857e-08","3.87772767258e-11","2.03698194901e-08","-3.85165821896e-11","9.33761402974e-12","","","","","","7.66268061870e-06","3.85165821896e-11","0.00000000000","9.38462623237e-06","2.92564757064","-4.20743787358e-06","","778265","147.957151900","0.0611005571534","2.03698194901e-08","2.92564757064","3.36691231241","3.36691231241e-06","1.03084247650e-05","0.326617537517","WARNING_UNDERSHOOT","negative_but_abs_cmin_over_cN2in_le_1e-6"
"scan","B_NX350_QUADRATIC_SELECTED","2.00000000000","3.00000000000e-06","1.66666627337e-07","1.48429646261e-07","1.66616745017e-07","1.48428632395e-07","4.86241573293e-11","-8.01780082319e-11","","","","","","6.31917387641e-06","4.62848119256e-14","3.64765783307e-08","1.00860409033e-10","3.64760685425e-08","-9.99140470933e-11","1.49058699917e-11","","","","","","1.27070546746e-05","9.99140470933e-11","0.00000000000","7.70968439639e-06","1.53240398646","-1.01511645178e-05","","778265","159.692342500","0.109421912276","3.64760685425e-08","1.53240398646","2.00970074614","6.02910223843e-06","1.00811018005e-05","0.598059850771","FAILED_NEGATIVE_CONCENTRATION","numerical_oscillation_or_insufficient_mesh_stabilization"
"scan","B_NX350_QUADRATIC_SELECTED","2.00000000000","1.00000000000e-05","1.66666631058e-07","1.41737534395e-07","1.66551838443e-07","1.41736004730e-07","1.11999053013e-10","-8.47366558957e-11","","","","","","9.39164328726e-06","1.28033825283e-13","4.98620967195e-08","2.30786929991e-10","4.98613238732e-08","-2.26607584703e-10","1.71673479320e-11","","","","","","1.29321159174e-05","2.26607584703e-10","0.00000000000","1.13260809609e-05","0.548979641096","-2.09589369893e-05","","778265","134.939683000","0.149574611935","4.98613238732e-08","0.548979641096","0.824154113607","8.24154113607e-06","9.86810979175e-06","0.835169177279","FAILED_NEGATIVE_CONCENTRATION","numerical_oscillation_or_insufficient_mesh_stabilization"
"scan","B_NX350_QUADRATIC_SELECTED","2.00000000000","3.00000000000e-05","1.66666636648e-07","1.38920631629e-07","1.66482662779e-07","1.38919276405e-07","1.76398469501e-10","-8.47264148341e-11","","","","","","8.31145984092e-06","1.19392186742e-13","5.54956020357e-08","3.69131841443e-10","5.54947805238e-08","-3.55413461740e-10","1.67749205705e-11","","","","","","1.26519953765e-05","3.55413461740e-10","0.00000000000","1.04178193401e-05","0.190039826204","-2.12769036734e-05","","778265","143.913022300","0.166476060098","5.54947805238e-08","0.190039826204","0.305756366523","9.17269099568e-06","9.77014798536e-06","0.938848726695","FAILED_NEGATIVE_CONCENTRATION","numerical_oscillation_or_insufficient_mesh_stabilization"
"scan","B_NX350_QUADRATIC_SELECTED","2.00000000000","0.000100000000000","1.66666638106e-07","1.37797218150e-07","1.66431291363e-07","1.37795919458e-07","2.18411506361e-10","-8.42723949266e-11","","","","","","7.96351634962e-06","2.48282502850e-13","5.77423440089e-08","4.72032465274e-10","5.77414944182e-08","-4.39365355141e-10","1.59843002050e-11","","","","","","1.04137974543e-05","4.39365355141e-10","0.00000000000","9.76744134147e-06","0.0574835280483","-3.67821344254e-05","","778265","135.003619100","0.173216549422","5.77414944182e-08","0.0574835280483","0.0954404866416","9.54404866416e-06","9.72977148933e-06","0.980911902672","FAILED_NEGATIVE_CONCENTRATION","near_depletion_plus_numerical_oscillation_not_a_physical-limit_proof"
"scan","B_NX350_QUADRATIC_SELECTED","4.00000000000","1.00000000000e-06","3.33334213516e-07","3.22362061081e-07","3.33320591927e-07","3.22361956068e-07","1.22805786140e-11","-1.85334937113e-10","","","","","","2.32550336360e-06","-1.03296478732e-15","2.19529721206e-08","2.78430711732e-11","2.19427545306e-08","-2.75107082895e-11","1.66743310701e-11","","","","","","0.000465694632857","2.75107082895e-11","0.00000000000","1.30023906848e-05","3.12259517399","-1.62898851328e-05","","778265","159.112773000","0.0329163703881","2.19427545306e-08","3.12259517399","3.62690157530","3.62690157530e-06","1.32069978017e-05","0.274619684940","FAILED_MASS_BALANCE","total_flux_or_nitrogen_balance_exceeds_1e-4"
"scan","B_NX350_QUADRATIC_SELECTED","4.00000000000","3.00000000000e-06","3.33334198876e-07","3.12328321283e-07","3.33296929016e-07","3.12327654671e-07","3.55373548682e-11","-1.81453677552e-10","","","","","","5.96792535485e-07","-1.95794890242e-15","4.20205186589e-08","7.51610304106e-11","4.20113573248e-08","-7.40133297022e-11","6.62933656469e-12","","","","","","0.000218114639686","7.40133297022e-11","0.00000000000","1.31481098725e-05","1.77028880554","-4.26912637245e-05","","778265","156.618815900","0.0630174691482","4.20113573248e-08","1.77028880554","2.31467533470","6.94402600409e-06","1.29295836995e-05","0.537064933060","FAILED_MASS_BALANCE","total_flux_or_nitrogen_balance_exceeds_1e-4"
"scan","B_NX350_QUADRATIC_SELECTED","4.00000000000","1.00000000000e-05","3.33334282285e-07","3.02811670399e-07","3.33241439029e-07","3.02810791902e-07","8.91771041534e-11","-1.79415742948e-10","","","","","","2.11363883296e-07","-4.78409542216e-15","6.10488175306e-08","1.86324527531e-10","6.10450828621e-08","-1.81267011827e-10","-9.79530214738e-12","","","","","","6.12572297369e-05","1.81267011827e-10","0.00000000000","5.39779914602e-06","0.673836062850","-9.83320509720e-05","","778265","163.335598500","0.0915675749780","6.10450828621e-08","0.673836062850","1.00900963408","1.00900963408e-05","1.26410933324e-05","0.798198073183","FAILED_NEGATIVE_CONCENTRATION","numerical_oscillation_or_insufficient_mesh_stabilization"
"scan","B_NX350_QUADRATIC_SELECTED","4.00000000000","3.00000000000e-05","3.33334299900e-07","2.98442975016e-07","3.33171587147e-07","2.98441815053e-07","1.52620222611e-10","-1.81373066916e-10","","","","","","5.80189118963e-07","-8.24203910224e-15","6.97935221822e-08","3.26067164011e-10","6.97830365616e-08","-3.08146548897e-10","-2.53669183348e-12","","","","","","0.000150378417812","3.08146548897e-10","0.00000000000","1.63209374179e-05","0.239163543212","-0.000156338218753","","778265","155.718573500","0.104673671129","6.97830365616e-08","0.239163543212","0.384479540285","1.15343862085e-05","1.24952172883e-05","0.923104091943","FAILED_MASS_BALANCE","total_flux_or_nitrogen_balance_exceeds_1e-4"
