Q_C,f_Li_current,classification,n_e_mol,Q_Li_equiv_C,n_Li_equiv_mol,m_Li_equiv_kg,V_Li_equiv_m3,mean_thickness_m,minimum_thickness_m,maximum_thickness_m,P10_thickness_m,P50_thickness_m,P90_thickness_m,std_thickness_m,CV_thickness,electron_ledger_relative,Li_equivalent_ledger_relative,status,notes
54.0000000000000,0.750000000000000,CURRENT_PARTITION_SENSITIVITY,0.000559670561438157,40.5000000000000,0.000419752921078618,2.91350502520669e-06,5.45600191986271e-09,1.41935533815367e-06,1.18797872281746e-09,2.49384551277276e-06,6.38969012596956e-07,1.59024167728719e-06,1.78212334578078e-06,4.39083466838190e-07,0.309354151871061,0.00000000000000,0.00000000000000,PASS,Li-EQUIVALENT; not predicted retained metallic Li; area-weighted scaled A4C magnitude distribution
54.0000000000000,1.00000000000000,NUMERICAL_UPPER_BOUND,0.000559670561438157,54.0000000000000,0.000559670561438157,3.88467336694225e-06,7.27466922648362e-09,1.89247378420489e-06,1.58397163042328e-09,3.32512735036367e-06,8.51958683462609e-07,2.12032223638292e-06,2.37616446104103e-06,5.85444622450920e-07,0.309354151871061,0.00000000000000,0.00000000000000,PASS,Li-EQUIVALENT; not predicted retained metallic Li; area-weighted scaled A4C magnitude distribution
99.0000000000000,0.250000000000000,CURRENT_PARTITION_SENSITIVITY,0.00102606269596996,24.7500000000000,0.000256515673992489,1.78047529318186e-06,3.33422339547166e-09,8.67383817760577e-07,7.25986997277335e-10,1.52401670225002e-06,3.90481063253696e-07,9.71814358342171e-07,1.08907537797714e-06,2.68328785290005e-07,0.309354151871061,1.43543987022242e-16,1.43543987022242e-16,PASS,Li-EQUIVALENT; not predicted retained metallic Li; area-weighted scaled A4C magnitude distribution
99.0000000000000,0.500000000000000,CURRENT_PARTITION_SENSITIVITY,0.00102606269596996,49.5000000000000,0.000513031347984978,3.56095058636373e-06,6.66844679094331e-09,1.73476763552115e-06,1.45197399455467e-09,3.04803340450003e-06,7.80962126507391e-07,1.94362871668434e-06,2.17815075595428e-06,5.36657570580010e-07,0.309354151871061,1.43543987022242e-16,1.43543987022242e-16,PASS,Li-EQUIVALENT; not predicted retained metallic Li; area-weighted scaled A4C magnitude distribution
99.0000000000000,0.750000000000000,CURRENT_PARTITION_SENSITIVITY,0.00102606269596996,74.2500000000000,0.000769547021977467,5.34142587954560e-06,1.00026701864150e-08,2.60215145328173e-06,2.17796099183201e-09,4.57205010675005e-06,1.17144318976109e-06,2.91544307502651e-06,3.26722613393142e-06,8.04986355870015e-07,0.309354151871061,1.43543987022242e-16,0.00000000000000,PASS,Li-EQUIVALENT; not predicted retained metallic Li; area-weighted scaled A4C magnitude distribution
99.0000000000000,1.00000000000000,NUMERICAL_UPPER_BOUND,0.00102606269596996,99.0000000000000,0.00102606269596996,7.12190117272746e-06,1.33368935818866e-08,3.46953527104231e-06,2.90394798910934e-09,6.09606680900007e-06,1.56192425301478e-06,3.88725743336868e-06,4.35630151190856e-06,1.07331514116002e-06,0.309354151871061,1.43543987022242e-16,1.43543987022242e-16,PASS,Li-EQUIVALENT; not predicted retained metallic Li; area-weighted scaled A4C magnitude distribution
297.000000000000,0.250000000000000,CURRENT_PARTITION_SENSITIVITY,0.00307818808790987,74.2500000000000,0.000769547021977467,5.34142587954560e-06,1.00026701864150e-08,2.60215145328173e-06,2.17796099183201e-09,4.57205010675005e-06,1.17144318976109e-06,2.91544307502651e-06,3.26722613393142e-06,8.04986355870015e-07,0.309354151871061,0.00000000000000,0.00000000000000,PASS,Li-EQUIVALENT; not predicted retained metallic Li; area-weighted scaled A4C magnitude distribution
297.000000000000,0.500000000000000,CURRENT_PARTITION_SENSITIVITY,0.00307818808790987,148.500000000000,0.00153909404395493,1.06828517590912e-05,2.00053403728299e-08,5.20430290656346e-06,4.35592198366401e-09,9.14410021350011e-06,2.34288637952217e-06,5.83088615005303e-06,6.53445226786285e-06,1.60997271174003e-06,0.309354151871061,0.00000000000000,0.00000000000000,PASS,Li-EQUIVALENT; not predicted retained metallic Li; area-weighted scaled A4C magnitude distribution
297.000000000000,0.750000000000000,CURRENT_PARTITION_SENSITIVITY,0.00307818808790987,222.750000000000,0.00230864106593240,1.60242776386368e-05,3.00080105592449e-08,7.80645435984519e-06,6.53388297549602e-09,1.37161503202502e-05,3.51432956928326e-06,8.74632922507954e-06,9.80167840179427e-06,2.41495906761005e-06,0.309354151871061,0.00000000000000,0.00000000000000,PASS,Li-EQUIVALENT; not predicted retained metallic Li; area-weighted scaled A4C magnitude distribution
297.000000000000,1.00000000000000,NUMERICAL_UPPER_BOUND,0.00307818808790987,297.000000000000,0.00307818808790987,2.13657035181824e-05,4.00106807456599e-08,1.04086058131269e-05,8.71184396732802e-09,1.82882004270002e-05,4.68577275904435e-06,1.16617723001061e-05,1.30689045357257e-05,3.21994542348006e-06,0.309354151871061,0.00000000000000,0.00000000000000,PASS,Li-EQUIVALENT; not predicted retained metallic Li; area-weighted scaled A4C magnitude distribution
